ID,FID,Depth,Date,BulkD,ECe ,ECpw ,SoilGWC,PasteGWC,ssatNa,ssatCa,ssatMg,ssatK,ssatAlk,ssatNO3,ssatS,ssatCl,PasteNa,PasteCa,PasteMg,PasteK,PasteAlk,PasteNO3,PasteS,PasteCl,SoilCa,SoilMg,SoilNa,SoilK,SoilNO3,SoilS,CEC,cecH,cecK,cecCa,cecMg,cecNa,Qs,Qr,alpha,n,m
1,DL0,15,8/24/2018,1.406282041,11.69,2.25,0.276013143,0.618101808,2073,577,797,62,565,25.7,2290,583,2443,581,493,66,149,242.8,1811,1088,5341,1189,822,429,54,414,41.3,0,3,64,24,9,,,,,
2,DL0,50,8/24/2018,1.585158997,8.58,21.58,0.261516065,0.583319543,5066,474,1351,75,1435,22.2,5074,1050,2297,400,441,152,171,18.8,2161,471,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,,,,,
3,DL0,100,8/24/2018,1.432892749,13.35,9.46,0.292988134,0.539632546,2124,485,563,27,920,0.8,2006,638,2764,366,520,27,88,58.3,2404,553,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,,,,,
4,DL1,15,8/25/2018,1.227874362,1.178,2.155,0.282944673,0.667059101,177,413,127,8,676,0.9,374,48,77,210,52,5,121,1,222,17,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,,,,,
5,DL1,50,8/24/2018,1.436232889,1.118,1.482,0.245019391,0.59755102,121,280,84,4,713,0.7,174,24,577.5,182,142.5,6.5,110.5,5.9,612,117.5,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,,,,,
6,DL1,100,8/24/2018,1.604675356,1.504,2.97,0.22763695,0.648568608,228,555,225,3,612,5.3,665,34,132,222,67,29,161,18.1,249,34,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,,,,,
7,DL2,15,8/25/2018,1.287251573,1.4,9.39,0.300791851,0.680109739,1943,496,624,11,992,22.9,1945,528,83.5,118.5,52.5,18.5,151.5,15.8,137,26.5,5086,663,97,410,8.2,45,32.4,0,3,78,17,1,,,,,
8,DL2,50,8/24/2018,1.412134189,2.69,3.81,0.248522167,0.605556771,635,340,210,13,713,4.5,633,194,190,574,153,4,73,3,717,16,5052,713,204,267,5.3,77.6,32.8,0,2,77,18,3,,,,,
9,DL2,100,8/24/2018,1.604592543,4.32,4.66,0.254616938,0.524383408,817,341,282,12,674,7.3,838,242,651,443,289,7,71,3.6,1080,45,8658,1191,1025,217,8.3,495,58.2,0,1,74,17,8,,,,,
10,DL3,50,8/24/2018,1.484016224,4.75,5.65,0.267790928,0.600108666,987,583,319,11,857,0.8,1211,157,618,422,197,7,109,5.5,895,88,5121,968,508,297,4.6,188,36.6,0,2,70,22,6,,,,,
11,DL3,100,8/24/2018,1.492794445,5.94,7.98,0.251661803,0.522897258,1684,587,354,25,1062,0.8,1414,655,868,471,244,10,97,2.1,1088,255,6131,910,606,241,1.8,285,41.5,0,1,74,18,6,,,,,
12,HIGH1,15,11/4/2018,1.406282041,5.08,6.83,0.234839324,0.656374767,1137,355,322,25,496,28.8,1111,324,635,466,279,22,114,10.1,1011,60,5341,1189,822,429,54,414,41.3,0,3,64,24,9,,,,,
13,HIGH1,50,11/4/2018,1.585158997,8.38,13.1,0.239252074,0.547329193,2319,506,605,21,591,89.7,2042,1033,1351,442,424,13,91,25.9,1619,279,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,,,,,
14,HIGH1,100,11/4/2018,1.432892749,6.79,14.5,0.313591302,0.563869992,2862,457,682,20,717,22.1,2647,828,1314,181,232,7,91,20.3,1125,343,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,,,,,
15,HIGH2,15,11/4/2018,1.406282041,8.23,13.54,0.269662617,0.67883549,2747,378,616,33,426,26.4,2472,593,1427,458,435,31,124,5.2,1748,103,5341,1189,822,429,54,414,41.3,0,3,64,24,9,,,,,
16,HIGH2,50,11/4/2018,1.585158997,10.55,16.18,0.229227094,0.561213434,3125,391,628,37,518,45.1,2839,938,2109,382,458,31,99,9.9,2130,230,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,,,,,
17,HIGH2,100,11/4/2018,1.432892749,9.26,12.14,0.25484198,0.606960082,2168,507,578,15,677,3.8,2179,643,1723,382,377,18,85,9,1801,294,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,,,,,
18,LOW1,15,11/4/2018,1.227874362,2.046,4.86,0.248448721,0.633395275,827,533,319,21,472,32,949,479,233,208,67,7,122,4,320,89,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,,,,,
19,LOW1,50,11/4/2018,1.436232889,5.62,10.17,0.234165561,0.549823855,1758,519,413,7,488,5.4,1485,1090,823,379,236,5,118,4.7,993,268,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,,,,,
20,LOW1,100,11/4/2018,1.604675356,7.03,21.81,0.26084007,0.548061056,4209,499,1057,45,881,0.8,3832,1805,1129,421,249,14,97,2.1,1222,397,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,,,,,
21,LOW2,15,11/4/2018,1.227874362,1.765,3.55,0.25152032,0.635950215,369,515,186,15,407,8,599,255,158,222,68,7,143,2.7,281,54,5212,725,147,225,25.6,67.5,33.3,0,2,78,18,2,,,,,
22,LOW2,50,11/4/2018,1.436232889,4.6,5.14,0.248433712,0.549332184,658,502,257,11,402,5,915,227,474,452,265,4,93,2.5,950,61,5397,682,97,185,8.5,38.8,33.6,0,1,80,17,1,,,,,
23,LOW2,100,11/4/2018,1.604675356,6.19,9.3,0.254037512,0.481064316,1550,444,537,9,632,9,1710,415,900,422,322,5,83,2.9,1212,139,5080,496,99,95,5.2,163,30.2,0,1,84,14,1,,,,,
24,X-HI,15,8/24/2018,1.406282041,13.2,11.52,0.288858062,0.68240988,2707,557,714,66,845,0.8,2617,705,116,146,44,2,71,4.5,205,22,5341,1189,822,429,54,414,41.3,0,3,64,24,9,,,,,
25,X-HI,15,8/24/2018,1.406282041,11.66,14.78,0.288858062,0.68240988,3401,560,1021,70,1184,0.8,3545,858,2318,416,530,30,302,1,2308,439,5341,1189,822,429,54,414,41.3,0,3,64,24,9,,,,,
26,X-HI,50,8/24/2018,1.585158997,13.2,27.6,0.250482759,0.567557252,7996,494,1599,76,1394,39.5,7024,1678,3559,389,574,37,115,8.5,3168,693,7473,1258,1635,351,14.3,1077,55.9,0,2,66,19,13,,,,,
27,X-HI,100,8/24/2018,1.432892749,21.8,16.56,0.260105786,0.544149809,4460,513,852,31,1508,0.9,4049,930,5393,517,852,46,155,4.1,4928,1125,6273,1045,1244,263,4,542,46.2,0,1,68,19,12,,,,,
28,DL1,30,7/16/2017,0.997073401,1.51,2.13,0.31546996,0.741752157,112,340,85,10,1204,0.3,263,133,111,192,44,7,663,2.7,193,58,6282,803,136,286,8,113,39.4,0,2,80,17,1,0.57,0.14558,0.67148,1.1941,0.1625492
29,DL1,120,7/16/2017,1.482359956,4.51,6.35,0.266608645,0.317235356,862,542,385,2,2959,0.4,1252,196,578,449,217,5,2027,0.6,944,87,6908,817,284,187,7.7,186,43.1,0,1,80,16,3,0.53,0.00020578,0.051277,1.157,0.135695765
30,DL2,30,7/16/2017,1.156075139,0.93,1.96,0.279937571,0.676424656,104,281,75,6,1015,14.5,209,57,85,132,34,5,472,0.3,97,46,6130,687,130,222,8.8,35.9,37.5,0,2,81,15,2,0.57,0.00034237,0.13918,1.1782,0.151247666
31,DL2,120,7/16/2017,1.454203398,1.68,3.73,0.183265857,0.629106201,276,482,175,2,1934,1.1,569,123,117,190,49,4,679,0.1,241,41,6326,726,138,232,9.9,80,38.9,0,2,80,16,2,0.58,0.000095591,0.27901,1.172,0.146757679
32,DL3,30,7/16/2017,1.269198251,2.23,3.88,0.285728118,0.768096055,273,617,187,10,2322,18.2,696,195,172,326,82,10,1157,0.3,391,67,6858,1064,496,284,6.6,206,46,0,2,74,19,5,0.51,0.0030409,0.053528,1.1334,0.117698959
33,DL3,60,7/16/2017,1.570473419,5.67,8.56,0.22840773,0.62922872,1343,544,545,11,3631,14.9,1693,412,742,535,298,13,2579,0.7,1203,189,8141,1173,811,247,11.3,265,54.6,0,1,74,18,6,0.52,0.00071083,0.092173,1.1712,0.146174863
